org.gradle.api.publish.ivy	IvyModuleDescriptorSpec	getExtraInfo()
org.gradle.api.publish.ivy	IvyModuleDescriptorSpec	getStatus()
org.gradle.api.publish.ivy	IvyPublication	getDescriptor()
org.gradle.api.publish.ivy	IvyPublication	getModule()
org.gradle.api.publish.ivy	IvyPublication	getOrganisation()
org.gradle.api.publish.ivy	IvyPublication	getRevision()
org.gradle.api.publish.ivy.tasks	GenerateIvyDescriptor	getDescriptor()
org.gradle.api.publish.ivy.tasks	GenerateIvyDescriptor	getDestination()
org.gradle.api.publish.ivy.tasks	PublishToIvyRepository	getPublication()
org.gradle.api.publish.ivy.tasks	PublishToIvyRepository	getRepository()
org.gradle.api.publish.maven	MavenArtifact	getClassifier()
org.gradle.api.publish.maven	MavenArtifact	getExtension()
org.gradle.api.publish.maven	MavenPom	getPackaging()
org.gradle.api.publish.maven	MavenPublication	getArtifactId()
org.gradle.api.publish.maven	MavenPublication	getGroupId()
org.gradle.api.publish.maven	MavenPublication	getVersion()
org.gradle.api.publish.maven.tasks	AbstractPublishToMaven	getPublication()
org.gradle.api.publish.maven.tasks	GenerateMavenPom	getDestination()
org.gradle.api.publish.maven.tasks	GenerateMavenPom	getPom()
org.gradle.api.publish.maven.tasks	PublishToMavenRepository	getRepository()
org.gradle.api.reporting	DirectoryReport	getEntryPoint()
org.gradle.api.reporting	Report	isEnabled()
org.gradle.api.reporting	ReportingExtension	getApiDocTitle()
org.gradle.api.tasks	AbstractCopyTask	getDirMode()
org.gradle.api.tasks	AbstractCopyTask	getDuplicatesStrategy()
org.gradle.api.tasks	AbstractCopyTask	getExcludes()
org.gradle.api.tasks	AbstractCopyTask	getFileMode()
org.gradle.api.tasks	AbstractCopyTask	getFilteringCharset()
org.gradle.api.tasks	AbstractCopyTask	getIncludeEmptyDirs()
org.gradle.api.tasks	AbstractCopyTask	getIncludes()
org.gradle.api.tasks	AbstractCopyTask	isCaseSensitive()
org.gradle.api.tasks	AbstractExecTask	getArgs()
org.gradle.api.tasks	AbstractExecTask	getArgumentProviders()
org.gradle.api.tasks	AbstractExecTask	getCommandLine()
org.gradle.api.tasks	AbstractExecTask	getEnvironment()
